workspace,campaign_name,campaign_id,campaign_status,created,leads_count,completed_count,new_leads_contacted_count,emails_sent_count,reply_count,reply_count_unique,open_count,open_count_unique,bounced_count,unsubscribed_count
2,October festive season,123b69d7-c8e0-438e-aec5-e99527bdac25,3,2025-10-10T05:13:48.829Z,0,0,6094,48752,0,0,23268,22128,0,0
2,India - Creator Awards,4fa119ef-351e-4a67-aa2d-176484eba68b,2,2025-07-18T11:59:28.194Z,0,0,1321,6466,43,39,3806,3341,17,0
2,India - Creator Awards (Travel),2086e0b8-b2c4-4e91-8085-861533b09d87,3,2025-08-23T05:40:17.868Z,534,534,534,2670,0,0,872,872,0,0
2,Reactivation- Working on content + No Growth,6c612b25-bbeb-4842-b8b6-ba8d7b35387f,3,2026-07-31T06:47:28.141Z,2314,2220,2314,2314,2,2,0,0,94,0
2,India - Travel Campaign,1753e01c-78f5-4188-9a57-25db10f08e56,3,2025-07-23T08:01:41.636Z,313,311,313,1814,16,16,1200,855,2,0
2,India - Travel Campaign 2,2f5314d8-ac13-4b76-9afc-7c97d57a43e4,3,2025-08-04T08:10:40.224Z,246,246,246,1452,8,8,804,747,0,0
2,India - Less Course Fee (copy),2ba8ac53-286a-4c0a-8d6e-98ae66ad7ac3,3,2025-08-14T07:45:10.184Z,1013,1013,1013,1013,0,0,538,507,0,0
2,India - Travel Campaign 3,eeeb291c-b8f3-45c7-9570-53dfa4800365,3,2025-08-21T11:15:43.014Z,153,153,153,765,0,0,0,0,0,0
2,Reactivation- No Response/ No Info,dfcc868e-35e2-436f-b47e-d7eee4f13bfd,-2,2026-07-31T07:27:40.215Z,3567,642,680,680,0,0,0,0,38,0
2,India - Fitness Email,c815f8c5-839a-4031-9b91-3d0edcb594b5,3,2025-08-22T04:46:41.514Z,178,178,178,356,0,0,112,112,0,0
2,India - Astro,9e3f03fa-332d-4d96-9b1b-c3929d489b55,3,2025-08-22T04:52:59.379Z,146,146,146,292,0,0,113,113,0,0
2,India - Yoga,68e6eeed-aa81-41f7-b352-1cd1d64dd12b,3,2025-08-22T04:53:12.938Z,116,116,116,232,0,0,87,87,0,0
2,Reactivation Meta ban scare,566c6abc-e5d7-42b2-9207-0551823f1759,3,2026-07-31T06:23:17.643Z,194,185,194,194,0,0,0,0,9,0
2,Reactivation- query to be solved+ cs support,8edfb1ca-2f57-4f57-84f2-23a4f763f279,3,2026-07-31T07:14:57.039Z,156,152,156,156,0,0,0,0,4,0
2,Reactivation Tech Issues,0e60e786-11b9-4121-8b16-4a6d39fb456f,3,2026-07-31T05:25:49.451Z,23,20,23,23,0,0,0,0,3,0
